,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
14902,Afghanistan,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",0.0,,aviation_gasoline
14903,Afghanistan,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",3.0,1.0,aviation_gasoline
14904,Afghanistan,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",3.0,1.0,aviation_gasoline
14905,Antigua and Barbuda,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",1.3,1.0,aviation_gasoline
14906,Antigua and Barbuda,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",1.2,1.0,aviation_gasoline
14907,Antigua and Barbuda,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",1.2,1.0,aviation_gasoline
14908,Antigua and Barbuda,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",1.3,1.0,aviation_gasoline
14909,Antigua and Barbuda,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",1.5,1.0,aviation_gasoline
14910,Antigua and Barbuda,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",1.8,1.0,aviation_gasoline
14911,Antigua and Barbuda,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",1.8,1.0,aviation_gasoline
14912,Antigua and Barbuda,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14913,Antigua and Barbuda,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14914,Antigua and Barbuda,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14915,Antigua and Barbuda,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14916,Antigua and Barbuda,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
14917,Antigua and Barbuda,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14918,Antigua and Barbuda,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14919,Antigua and Barbuda,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14920,Antigua and Barbuda,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14921,Antigua and Barbuda,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14922,Antigua and Barbuda,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14923,Antigua and Barbuda,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14924,Antigua and Barbuda,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14925,Antigua and Barbuda,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14926,Antigua and Barbuda,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14927,Antigua and Barbuda,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",1.0,,aviation_gasoline
14928,Antigua and Barbuda,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",1.0,,aviation_gasoline
14929,Antigua and Barbuda,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",1.0,,aviation_gasoline
14930,Argentina,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",8.0,,aviation_gasoline
14931,Argentina,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",8.0,,aviation_gasoline
14932,Argentina,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",7.0,,aviation_gasoline
14933,Argentina,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",8.0,,aviation_gasoline
14934,Argentina,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",10.0,,aviation_gasoline
14935,Argentina,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",8.0,,aviation_gasoline
14936,Argentina,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",7.0,,aviation_gasoline
14937,Argentina,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",5.0,,aviation_gasoline
14938,Argentina,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",5.0,,aviation_gasoline
14939,Argentina,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",13.0,,aviation_gasoline
14940,Argentina,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",11.0,,aviation_gasoline
14941,Argentina,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",7.0,,aviation_gasoline
14942,Argentina,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",8.0,,aviation_gasoline
14943,Argentina,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",6.0,,aviation_gasoline
14944,Argentina,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",14.0,,aviation_gasoline
14945,Argentina,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",15.0,,aviation_gasoline
14946,Argentina,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",10.0,,aviation_gasoline
14947,Argentina,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",14.0,,aviation_gasoline
14948,Argentina,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",11.0,,aviation_gasoline
14949,Argentina,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",7.0,1.0,aviation_gasoline
14950,Argentina,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",11.0,,aviation_gasoline
14951,Argentina,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",5.0,,aviation_gasoline
14952,Argentina,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",16.0,,aviation_gasoline
14953,Argentina,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",15.0,,aviation_gasoline
14954,Australia,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",51.0,,aviation_gasoline
14955,Australia,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",57.0,,aviation_gasoline
14956,Australia,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",60.0,,aviation_gasoline
14957,Australia,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",56.0,,aviation_gasoline
14958,Australia,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",56.0,,aviation_gasoline
14959,Australia,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",68.0,,aviation_gasoline
14960,Australia,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",62.0,,aviation_gasoline
14961,Australia,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",63.0,,aviation_gasoline
14962,Australia,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",83.0,,aviation_gasoline
14963,Australia,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",64.0,,aviation_gasoline
14964,Australia,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",67.0,,aviation_gasoline
14965,Australia,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",67.0,,aviation_gasoline
14966,Australia,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",44.0,,aviation_gasoline
14967,Australia,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",77.0,,aviation_gasoline
14968,Australia,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",72.0,,aviation_gasoline
14969,Australia,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",73.0,,aviation_gasoline
14970,Australia,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",72.0,,aviation_gasoline
14971,Australia,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",71.0,,aviation_gasoline
14972,Australia,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",70.0,,aviation_gasoline
14973,Australia,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",73.0,,aviation_gasoline
14974,Australia,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",71.0,,aviation_gasoline
14975,Australia,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",70.0,,aviation_gasoline
14976,Australia,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",70.0,,aviation_gasoline
14977,Australia,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",75.0,,aviation_gasoline
14978,Australia,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",91.0,,aviation_gasoline
14979,Austria,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",2.0,,aviation_gasoline
14980,Austria,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",2.0,,aviation_gasoline
14981,Austria,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",3.0,,aviation_gasoline
14982,Austria,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",4.0,,aviation_gasoline
14983,Austria,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",2.0,,aviation_gasoline
14984,Austria,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",3.0,,aviation_gasoline
14985,Azerbaijan,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14986,Azerbaijan,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14987,Azerbaijan,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14988,Azerbaijan,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
14989,Azerbaijan,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",4.0,1.0,aviation_gasoline
14990,Bahamas,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",1.406,1.0,aviation_gasoline
14991,Bahamas,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",1.406,1.0,aviation_gasoline
14992,Bahamas,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",0.3493,1.0,aviation_gasoline
14993,Bahamas,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",0.4015,1.0,aviation_gasoline
14994,Bahamas,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",0.3212,1.0,aviation_gasoline
14995,Bahamas,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",0.2555,1.0,aviation_gasoline
14996,Bahamas,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",0.3358,1.0,aviation_gasoline
14997,Bahamas,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",0.7299,1.0,aviation_gasoline
14998,Bahamas,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",0.7299,1.0,aviation_gasoline
14999,Bahamas,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",0.7299,1.0,aviation_gasoline
15000,Bahamas,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
15001,Bahamas,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
15002,Bahamas,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",1.5,1.0,aviation_gasoline
15003,Bahamas,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
15004,Bahamas,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
15005,Bahamas,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
15006,Bahamas,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
15007,Belgium,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",2.0,,aviation_gasoline
15008,Belgium,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",3.0,,aviation_gasoline
15009,Belgium,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",2.0,,aviation_gasoline
15010,Belgium,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",2.0,,aviation_gasoline
15011,Belgium,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",2.0,,aviation_gasoline
15012,Belgium,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",3.0,,aviation_gasoline
15013,Belgium,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",2.0,,aviation_gasoline
15014,Belgium,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",3.0,,aviation_gasoline
15015,Belgium,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",2.0,,aviation_gasoline
15016,Belgium,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",2.0,,aviation_gasoline
15017,Belgium,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",2.0,,aviation_gasoline
15018,Belgium,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",2.0,,aviation_gasoline
15019,Belgium,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",3.0,,aviation_gasoline
15020,Belgium,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",3.0,,aviation_gasoline
15021,Belgium,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",3.0,,aviation_gasoline
15022,Belgium,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",2.0,,aviation_gasoline
15023,Belgium,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",2.0,,aviation_gasoline
15024,Belgium,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",2.0,,aviation_gasoline
15025,Belgium,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",2.0,,aviation_gasoline
15026,Belgium,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",2.0,,aviation_gasoline
15027,Belgium,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",2.0,,aviation_gasoline
15028,Belgium,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",3.0,,aviation_gasoline
15029,Belgium,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",3.0,,aviation_gasoline
15030,Belgium,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",3.0,,aviation_gasoline
15031,Belgium,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",2.0,,aviation_gasoline
15032,Belize,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",0.47,1.0,aviation_gasoline
15033,Belize,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",0.47,1.0,aviation_gasoline
15034,Belize,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",0.47,1.0,aviation_gasoline
15035,Belize,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",0.49,1.0,aviation_gasoline
15036,Belize,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",0.49,1.0,aviation_gasoline
15037,Belize,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",0.49,1.0,aviation_gasoline
15038,Belize,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",0.49,1.0,aviation_gasoline
15039,Belize,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",0.49,,aviation_gasoline
15040,Belize,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",0.45,1.0,aviation_gasoline
15041,Belize,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",0.41,1.0,aviation_gasoline
15042,Belize,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",0.39,1.0,aviation_gasoline
15043,Belize,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",0.37,1.0,aviation_gasoline
15044,Belize,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",0.33,1.0,aviation_gasoline
15045,Belize,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",2.0,,aviation_gasoline
15046,Belize,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",2.0,,aviation_gasoline
15047,Belize,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",1.0,,aviation_gasoline
15048,Belize,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",0.0,,aviation_gasoline
15049,Belize,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",0.0,,aviation_gasoline
15050,Belize,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",0.0,,aviation_gasoline
15051,Belize,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",1.0,1.0,aviation_gasoline
15052,Belize,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",0.0,,aviation_gasoline
15053,Belize,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",0.0,,aviation_gasoline
15054,Belize,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",2.0,1.0,aviation_gasoline
15055,Belize,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",8.0,1.0,aviation_gasoline
15056,Belize,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",3.0,1.0,aviation_gasoline
15057,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",5.0,,aviation_gasoline
15058,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",5.0,,aviation_gasoline
15059,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",5.0,,aviation_gasoline
15060,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",4.0,,aviation_gasoline
15061,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",4.0,,aviation_gasoline
15062,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",4.0,,aviation_gasoline
15063,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",4.0,,aviation_gasoline
15064,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",3.0,,aviation_gasoline
15065,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",3.0,,aviation_gasoline
15066,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",3.0,,aviation_gasoline
15067,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",3.0,,aviation_gasoline
15068,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",2.0,,aviation_gasoline
15069,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",2.0,,aviation_gasoline
15070,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",3.0,,aviation_gasoline
15071,Bolivia (Plur. State of),Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",3.0,,aviation_gasoline
15072,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",3.0,,aviation_gasoline
15073,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",4.0,,aviation_gasoline
15074,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",4.0,,aviation_gasoline
15075,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",4.0,,aviation_gasoline
15076,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",4.0,,aviation_gasoline
15077,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",4.0,,aviation_gasoline
15078,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",4.0,,aviation_gasoline
15079,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",5.0,,aviation_gasoline
15080,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",6.0,,aviation_gasoline
15081,Bolivia (Plur. State of),Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",6.0,,aviation_gasoline
15082,Botswana,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",2.0,,aviation_gasoline
15083,Botswana,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",2.0,,aviation_gasoline
15084,Botswana,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",2.0,,aviation_gasoline
15085,Botswana,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",2.0,,aviation_gasoline
15086,Botswana,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",2.0,,aviation_gasoline
15087,Botswana,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",2.0,,aviation_gasoline
15088,Botswana,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",2.0,,aviation_gasoline
15089,Botswana,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",2.0,,aviation_gasoline
15090,Botswana,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",3.0,,aviation_gasoline
15091,Botswana,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",3.0,,aviation_gasoline
15092,Botswana,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",2.0,,aviation_gasoline
15093,Botswana,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",4.0,,aviation_gasoline
15094,Botswana,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",4.0,,aviation_gasoline
15095,Botswana,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",4.0,,aviation_gasoline
15096,Botswana,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",2.0,,aviation_gasoline
15097,Botswana,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",4.0,,aviation_gasoline
15098,Botswana,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",2.0,,aviation_gasoline
15099,Botswana,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",2.0,,aviation_gasoline
15100,Botswana,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",2.0,,aviation_gasoline
15101,Botswana,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",2.0,,aviation_gasoline
15102,Botswana,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",1.0,,aviation_gasoline
15103,Botswana,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",1.0,,aviation_gasoline
15104,Botswana,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",2.0,,aviation_gasoline
15105,Botswana,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",4.0,,aviation_gasoline
15106,Botswana,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",2.0,,aviation_gasoline
15107,Brazil,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",54.0,,aviation_gasoline
15108,Brazil,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",54.0,,aviation_gasoline
15109,Brazil,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",54.0,,aviation_gasoline
15110,Brazil,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",50.0,,aviation_gasoline
15111,Brazil,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",49.0,,aviation_gasoline
15112,Brazil,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",43.0,,aviation_gasoline
15113,Brazil,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",43.0,,aviation_gasoline
15114,Brazil,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",51.0,,aviation_gasoline
15115,Brazil,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",50.0,,aviation_gasoline
15116,Brazil,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",39.0,,aviation_gasoline
15117,Brazil,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",43.0,,aviation_gasoline
15118,Brazil,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",44.0,,aviation_gasoline
15119,Brazil,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",39.0,,aviation_gasoline
15120,Brazil,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",52.0,,aviation_gasoline
15121,Brazil,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",53.0,,aviation_gasoline
15122,Brazil,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",53.0,,aviation_gasoline
15123,Brazil,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",57.0,,aviation_gasoline
15124,Brazil,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",45.0,,aviation_gasoline
15125,Brazil,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",45.0,,aviation_gasoline
15126,Brazil,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",39.0,,aviation_gasoline
15127,Brazil,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",47.0,,aviation_gasoline
15128,Brazil,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",39.0,,aviation_gasoline
15129,Brazil,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",34.0,,aviation_gasoline
15130,Brazil,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",41.0,,aviation_gasoline
15131,Brazil,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",44.0,,aviation_gasoline
15132,Bulgaria,Aviation gasoline - Final consumption,2014,"Metric tons,  thousand",1.0,,aviation_gasoline
15133,Bulgaria,Aviation gasoline - Final consumption,2013,"Metric tons,  thousand",1.0,,aviation_gasoline
15134,Bulgaria,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",1.0,,aviation_gasoline
15135,Bulgaria,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",1.0,,aviation_gasoline
15136,Bulgaria,Aviation gasoline - Final consumption,2010,"Metric tons,  thousand",1.0,,aviation_gasoline
15137,Bulgaria,Aviation gasoline - Final consumption,2009,"Metric tons,  thousand",1.0,,aviation_gasoline
15138,Bulgaria,Aviation gasoline - Final consumption,2008,"Metric tons,  thousand",1.0,,aviation_gasoline
15139,Bulgaria,Aviation gasoline - Final consumption,2007,"Metric tons,  thousand",0.0,,aviation_gasoline
15140,Bulgaria,Aviation gasoline - Final consumption,2006,"Metric tons,  thousand",0.0,,aviation_gasoline
15141,Bulgaria,Aviation gasoline - Final consumption,2005,"Metric tons,  thousand",1.0,,aviation_gasoline
15142,Bulgaria,Aviation gasoline - Final consumption,2004,"Metric tons,  thousand",1.0,,aviation_gasoline
15143,Bulgaria,Aviation gasoline - Final consumption,2003,"Metric tons,  thousand",1.0,,aviation_gasoline
15144,Bulgaria,Aviation gasoline - Final consumption,2002,"Metric tons,  thousand",1.0,,aviation_gasoline
15145,Bulgaria,Aviation gasoline - Final consumption,2001,"Metric tons,  thousand",1.0,,aviation_gasoline
15146,Bulgaria,Aviation gasoline - Final consumption,2000,"Metric tons,  thousand",0.0,,aviation_gasoline
15147,Bulgaria,Aviation gasoline - Final consumption,1999,"Metric tons,  thousand",3.0,,aviation_gasoline
15148,Bulgaria,Aviation gasoline - Final consumption,1998,"Metric tons,  thousand",1.0,,aviation_gasoline
15149,Bulgaria,Aviation gasoline - Final consumption,1997,"Metric tons,  thousand",1.0,,aviation_gasoline
15150,Bulgaria,Aviation gasoline - Final consumption,1996,"Metric tons,  thousand",1.0,,aviation_gasoline
15151,Bulgaria,Aviation gasoline - Final consumption,1995,"Metric tons,  thousand",2.0,,aviation_gasoline
15152,Bulgaria,Aviation gasoline - Final consumption,1994,"Metric tons,  thousand",3.0,,aviation_gasoline
15153,Bulgaria,Aviation gasoline - Final consumption,1993,"Metric tons,  thousand",1.0,,aviation_gasoline
15154,Bulgaria,Aviation gasoline - Final consumption,1992,"Metric tons,  thousand",1.0,,aviation_gasoline
15155,Bulgaria,Aviation gasoline - Final consumption,1991,"Metric tons,  thousand",3.0,,aviation_gasoline
15156,Bulgaria,Aviation gasoline - Final consumption,1990,"Metric tons,  thousand",11.0,,aviation_gasoline
15157,Burkina Faso,Aviation gasoline - Final consumption,2012,"Metric tons,  thousand",0.0,,aviation_gasoline
15158,Burkina Faso,Aviation gasoline - Final consumption,2011,"Metric tons,  thousand",0.0,,aviation_gasoline
